Player,Team,Position,Salary
Jose Abreu,CWS,1B,3500
Ronald Acuna,ATL,OF,4100
Raul Adalberto Mondesi,KC,SS,2000
Jason Adam,KC,P,5500
Matt Adams,WSH,1B,4400
Lane Adams,CHC,OF,2000
Austin Adams,WSH,P,5500
Jesus Aguilar,MIL,1B,2800
Nick Ahmed,ARI,SS,2600
Matt Albers,MIL,P,5500
Ozzie Albies,ATL,2B,4600
Scott Alexander,LAD,P,5500
Jorge Alfaro,PHI,C,2100
Anthony Alford,TOR,OF,2200
Cody Allen,CLE,P,5500
Greg Allen,CLE,OF,2000
Abraham Almonte,KC,OF,2300
Albert Almora,CHC,OF,2900
Yonder Alonso,CLE,1B,2600
Dan Altavilla,SEA,P,5500
Aaron Altherr,PHI,OF,2400
Jose Altuve,HOU,2B,4400
Jose Alvarado,TB,P,5500
Pedro Alvarez,BAL,3B,2400
Jose Alvarez,LAA,P,5500
Eliezer Alvarez,TEX,SS,2000
Chase Anderson,MIL,P,7300
Tyler Anderson,COL,P,7500
Brett Anderson,OAK,P,5500
Tim Anderson,CWS,SS,3100
Cody Anderson,CLE,P,5500
Brian Anderson,MIA,3B,3200
Justin Anderson,LAA,P,5500
Matt Andriese,TB,P,5500
Elvis Andrus,TEX,SS,2700
Miguel Andujar,NYY,3B,2800
Mychal Antonio Givens,BAL,P,5500
Victor Arano,PHI,P,5500
Pedro Araujo,BAL,P,5500
Chris Archer,TB,P,8800
Orlando Arcia,MIL,SS,2000
Nolan Arenado,COL,3B,5100
Jake Arrieta,PHI,P,8200
Carlos Asuaje,SD,2B,2000
Alex Avila,ARI,C,2000
Luis Avilan,CWS,P,5500
John Axford,TOR,P,5500
Pedro Baez,LAD,P,5500
Javier Baez,CHC,2B,4500
Homer Bailey,CIN,P,5500
Jett Bandy,MIL,C,2000
Johnny Barbato,DET,P,5500
Scott Barlow,KC,P,5500
Matt Barnes,BOS,P,5500
Austin Barnes,LAD,C,2200
Jacob Barnes,MIL,P,5500
Danny Barnes,TOR,P,5500
Tony Barnette,TEX,P,5500
Tucker Barnhart,CIN,C,2500
Kyle Barraclough,MIA,P,5500
Franklin Barreto,OAK,SS,2000
Jaime Barria,LAA,P,5500
Chris Bassitt,OAK,P,5500
Trevor Bauer,CLE,P,9500
Buddy Baumann,NYM,P,5500
Jose Bautista,ATL,3B,3200
Rafael Bautista,WSH,OF,2000
Gerson Bautista,NYM,P,5500
Chris Beck,CWS,P,5500
Tim Beckham,BAL,2B,2000
Cameron Bedrosian,LAA,P,5500
Tyler Beede,SF,P,5900
Matt Belisle,CLE,P,5500
Jeff Beliveau,CLE,P,5500
Josh Bell,PIT,1B,2700
Chad Bell,DET,P,5500
Cody Bellinger,LAD,1B,3600
Brandon Belt,SF,1B,3900
Adrian Beltre,TEX,3B,2900
Andrew Benintendi,BOS,OF,3700
Joaquin Benoit,WSH,P,5500
Dellin Betances,NYY,P,5500
Chad Bettis,COL,P,6600
Mookie Betts,BOS,OF,5200
Joe Biagini,TOR,P,5500
Jesse Biddle,ATL,P,5500
Greg Bird,NYY,1B,2000
Ty Blach,SF,P,6200
Clayton Blackburn,TEX,P,5500
Paul Blackburn,OAK,P,5500
Charlie Blackmon,COL,OF,4900
Gregor Blanco,SF,OF,2600
Alex Blandino,CIN,3B,2400
Jabari Blash,LAA,OF,3000
Richard Bleier,BAL,P,5500
Jerry Blevins,NYM,P,5500
Xander Bogaerts,BOS,SS,4000
Jorge Bonifacio,KC,OF,2000
David Bote,CHC,2B,2000
Justin Bour,MIA,1B,3100
Peter Bourjos,ATL,OF,2000
Bradley Boxberger,ARI,P,5500
Matt Boyd,DET,P,6700
Blaine Boyer,KC,P,5500
Brad Brach,BAL,P,5500
Silvino Bracho,ARI,P,5500
Chasen Bradford,SEA,P,5500
Jackie Bradley,BOS,OF,2400
Archie Bradley,ARI,P,5500
Michael Brantley,CLE,OF,3500
Steven Brault,PIT,P,5700
Ryan Braun,MIL,OF,2800
Alex Bregman,HOU,3B,3700
Colten Brewer,SD,P,5500
Austin Brice,CIN,P,5500
Parker Bridwell,LAA,P,5500
Lewis Brinson,MIA,OF,2200
Zach Britton,BAL,P,5500
Rex Brothers,ATL,P,5500
Jay Bruce,NYM,OF,3400
Kris Bryant,CHC,3B,4600
Ryan Buchter,OAK,P,5500
Walker Buehler,LAD,P,8300
Madison Bumgarner,SF,P,8600
Aaron Bummer,CWS,P,5500
Dylan Bundy,BAL,P,8900
Nick Burdi,PIT,P,5500
Matt Bush,TEX,P,5500
Drew Butera,KC,C,2100
Eddie Butler,CHC,P,5500
Miguel Cabrera,DET,1B,3000
Asdrubal Cabrera,NYM,2B,3900
Trevor Cahill,OAK,P,7500
Lorenzo Cain,MIL,OF,3100
Kole Calhoun,LAA,OF,3000
Johan Camargo,ATL,SS,3100
Jeimer Candelario,DET,3B,3800
Mark Canha,OAK,OF,3100
Robinson Cano,SEA,2B,3600
Victor Caratini,CHC,C,2200
Shane Carle,ATL,P,5500
Ryan Carpenter,DET,P,5500
Carlos Carrasco,CLE,P,9500
Andrew Cashner,BAL,P,6300
Santiago Casilla,OAK,P,5500
Nick Castellanos,DET,OF,3800
Welington Castillo,CWS,C,2100
Luis Castillo,CIN,P,6200
Starlin Castro,MIA,2B,3300
Daniel Castro,COL,2B,3000
Miguel Castro,BAL,P,5500
Juan Centeno,TEX,C,2200
Francisco Cervelli,PIT,C,2900
Yoenis Cespedes,NYM,OF,4000
Luis Cessa,NYY,P,5500
Jhoulys Chacin,MIL,P,5900
Andrew Chafin,ARI,P,5500
Aroldis Chapman,NYY,P,5500
Matt Chapman,OAK,3B,2800
J.T. Chargois,LAD,P,5500
Tyler Chatwood,CHC,P,7600
Jesse Chavez,TEX,P,5500
Wei Yin Chen,MIA,P,5500
Robinson Chirinos,TEX,C,2200
Yonny Chirinos,TB,P,5800
Lonnie Chisenhall,CLE,OF,2200
Ji Man Choi,MIL,1B,2000
Shin Soo Choo,TEX,OF,3200
Adam Cimber,SD,P,5500
Anthony Cingrani,LAD,P,5500
Steve Cishek,CHC,P,5500
Alexander Claudio,TEX,P,5500
Michael Clevinger,CLE,P,8200
Tyler Clippard,TOR,P,5500
Tyler Cloyd,MIA,P,5500
Alex Cobb,BAL,P,5700
Gerrit Cole,HOU,P,12000
A.J. Cole,NYY,P,5500
Alexander Colome,TB,P,5500
Bartolo Colon,TEX,P,6400
Michael Conforto,NYM,OF,3500
P.J. Conlon,NYM,P,5500
Willson Contreras,CHC,C,2600
Garrett Cooper,MIA,OF,2000
Patrick Corbin,ARI,P,10000
Franchy Cordero,SD,OF,3300
Allen Cordoba,SD,SS,2000
Carlos Correa,HOU,SS,4300
Nestor Cortes,NYY,P,5500
Jharel Cotton,OAK,P,6200
Dan Coulombe,OAK,P,5500
Dylan Covey,CWS,P,5500
Zack Cozart,LAA,3B,3400
Brandon Crawford,SF,SS,3000
J.P. Crawford,PHI,SS,2200
Kyle Crick,PIT,P,5500
C.J. Cron,TB,1B,3200
Nelson Cruz,SEA,OF,3700
Johnny Cueto,SF,P,8300
Noel Cuevas,COL,OF,3000
Charlie Culberson,ATL,3B,2000
Zac Curtis,PHI,P,5500
Cheslor Cuthbert,KC,3B,2400
David Dahl,COL,OF,3300
Yu Darvish,CHC,P,8000
Matt Davidson,CWS,3B,3500
Zach Davies,MIL,P,7900
Khris Davis,OAK,OF,3500
Rajai Davis,CLE,OF,2500
Chris Davis,BAL,1B,2500
Wade Davis,COL,P,5500
J.D. Davis,HOU,1B,2100
Rookie Davis,CIN,P,5500
Grant Dayton,ATL,P,5500
Jorge De La Rosa,ARI,P,5500
Jose De Leon,TB,P,5500
Anthony DeSclafani,CIN,P,5500
Delino DeShields,TEX,OF,3500
Randall Delgado,ARI,P,5900
Nicky Delmonico,CWS,OF,2400
Daniel Descalso,ARI,3B,2700
