name,Power,Ground
A.J. Achter,vs. Finesse,vs. Fly Ball
A.J. Burnett,vs. avg.P/F,vs. GrndBall
A.J. Cole,vs. Power,vs. Fly Ball
A.J. Griffin,vs. Finesse,vs. Fly Ball
A.J. Minter,vs. Power,vs. Fly Ball
A.J. Schugel,vs. avg.P/F,vs. GrndBall
AJ Ramos,vs. Power,vs. Fly Ball
Aaron Barrett,vs. Power,vs. avg.F/G
Aaron Blair,vs. avg.P/F,vs. avg.F/G
Aaron Brooks,vs. Finesse,vs. avg.F/G
Aaron Crow,vs. avg.P/F,vs. avg.F/G
Aaron Harang,vs. Finesse,vs. Fly Ball
Aaron Loup,vs. avg.P/F,vs. GrndBall
Aaron Nola,vs. avg.P/F,vs. GrndBall
Aaron Poreda,vs. Power,vs. avg.F/G
Aaron Sanchez,vs. avg.P/F,vs. GrndBall
Adalberto Mejia,vs. avg.P/F,vs. avg.F/G
Adam Cimber,vs. avg.P/F,vs. GrndBall
Adam Conley,vs. avg.P/F,vs. Fly Ball
Adam Liberatore,vs. Power,vs. avg.F/G
Adam Morgan,vs. Finesse,vs. Fly Ball
Adam Ottavino,vs. Power,vs. avg.F/G
Adam Plutko,vs. Finesse,vs. Fly Ball
Adam Wainwright,vs. Finesse,vs. GrndBall
Adam Warren,vs. avg.P/F,vs. avg.F/G
Addison Reed,vs. avg.P/F,vs. Fly Ball
Al Alburquerque,vs. Power,vs. avg.F/G
Alan Busenitz,vs. avg.P/F,vs. Fly Ball
Albert Suarez,vs. Finesse,vs. GrndBall
Alec Asher,vs. Finesse,vs. Fly Ball
Alex Claudio,vs. Finesse,vs. GrndBall
Alex Cobb,vs. Finesse,vs. GrndBall
Alex Colome,vs. avg.P/F,vs. avg.F/G
Alex Meyer,vs. Power,vs. avg.F/G
Alex Reyes,vs. Power,vs. Fly Ball
Alex Torres,vs. Power,vs. GrndBall
Alex Wilson,vs. Finesse,vs. avg.F/G
Alex Wood,vs. avg.P/F,vs. GrndBall
Alexi Ogando,vs. avg.P/F,vs. Fly Ball
Alfredo Aceves,vs. Finesse,vs. Fly Ball
Alfredo Simon,vs. Finesse,vs. GrndBall
Allen Webster,vs. avg.P/F,vs. GrndBall
Amir Garrett,vs. Power,vs. avg.F/G
Andre Rienzo,vs. avg.P/F,vs. avg.F/G
Andrew Albers,vs. Finesse,vs. avg.F/G
Andrew Bailey,vs. Power,vs. Fly Ball
Andrew Bellatti,vs. avg.P/F,vs. Fly Ball
Andrew Cashner,vs. Finesse,vs. GrndBall
Andrew Chafin,vs. Power,vs. GrndBall
Andrew Heaney,vs. avg.P/F,vs. avg.F/G
Andrew Kittredge,vs. Finesse,vs. GrndBall
